Game Turn, Range, Value, Seed, Type, Location
39, 55, 50, 1494744355, sync, Choosing a City Name
39, 55, 28, 3932791328, sync, Choosing a City Name
39, 55, 19, 2199910361, sync, Choosing a City Name
40, 100, 12, 1559680414, sync, Pillage Improvement Chance
40, 100, 35, 543377535, sync, Pillage Improvement Chance
40, 100, 95, 1536606284, sync, Pillage Improvement Chance
40, 100, 36, 4103026837, sync, Pillage Improvement Chance
40, 100, 1, 1551281578, sync, Pillage Improvement Chance
40, 100, 86, 49147291, sync, Boosted Yield Chance
40, 100, 97, 3734345016, sync, Pillage Improvement Chance
40, 100, 97, 4202154257, sync, Pillage Improvement Chance
40, 100, 73, 4167694966, sync, Pillage Improvement Chance
40, 100, 38, 3165898871, sync, Pillage Improvement Chance
40, 100, 41, 1655360740, sync, Pillage Improvement Chance
40, 25, 12, 1769923917, sync, Active Volcano Roll
40, 5753, 5114, 2071152642, sync, Random Event Roll
40, 9, 8, 3818026259, sync, Pick Storm Start Plot
40, 5, 3, 3837383504, sync, Storm Direction Preview
40, 31, 23, 3244394825, sync, Choosing a Citizen Name
40, 100, 1, 3318866510, sync, Pillage Improvement Chance
40, 100, 54, 61165423, sync, Pillage Improvement Chance
40, 100, 15, 2322650236, sync, Pillage Improvement Chance
40, 100, 91, 649097477, sync, Pillage Improvement Chance
40, 100, 14, 3933066586, sync, Boosted Yield Chance
40, 100, 26, 627143563, sync, Pillage Improvement Chance
40, 100, 23, 1144306792, sync, Pillage Improvement Chance
40, 100, 56, 1011619969, sync, Pillage Improvement Chance
40, 100, 59, 2426662182, sync, Pillage Improvement Chance
40, 100, 63, 2574368103, sync, Pillage Improvement Chance
40, 100, 9, 2714580756, sync, Pillage Improvement Chance
40, 100, 65, 413187005, sync, Pillage Improvement Chance
40, 100, 64, 2798761394, sync, Pillage Improvement Chance
40, 100, 27, 2790443267, sync, Pillage Improvement Chance
40, 100, 32, 1171304576, sync, Pillage Improvement Chance
40, 100, 69, 1386370745, sync, Pillage Improvement Chance
40, 100, 45, 2980150014, sync, Pillage Improvement Chance
40, 100, 13, 1940845151, sync, Boosted Yield Chance
40, 100, 88, 600855724, sync, Pillage Improvement Chance
40, 100, 76, 3800606069, sync, Pillage Improvement Chance
40, 100, 31, 3289794826, sync, Pillage Improvement Chance
40, 100, 45, 1333417339, sync, Pillage Improvement Chance
40, 100, 32, 1967394712, sync, Boosted Yield Chance
40, 3, 2, 1380656113, sync, GetNextBuyablePlot picker
40, 2, 0, 3965184982, sync, GetNextBuyablePlot picker
40, 2, 0, 684641879, sync, GetNextBuyablePlot picker
40, 2, 0, 288787780, sync, GetNextBuyablePlot picker
40, 1, 0, 2044530221, sync, GetNextBuyablePlot picker
40, 1, 0, 2705256290, sync, GetNextBuyablePlot picker
40, 3, 1, 3699898611, sync, GetNextBuyablePlot picker
40, 2, 1, 2461088176, sync, City Build District Choice
