Game Turn, Player, BY TYPE: Tiles, Buildings, Districts, Population, Outgoing Trade Routes, TOURISM, Diplo Victory, BALANCE: Favor, LIFETIME: Favor, CO2 Per Turn
40, CIVILIZATION_MACEDON, 75, 52, 8, 41, 5, 8, 0, 7, 7, 0
40, CIVILIZATION_BRAZIL, 81, 117, 6, 47, 3, 8, 0, 30, 30, 0
40, CIVILIZATION_GERMANY, 63, 42, 6, 37, 7, 6, 0, 40, 40, 0
40, CIVILIZATION_VIETNAM, 72, 72, 10, 34, 0, 8, 0, 17, 17, 0
40, CIVILIZATION_ROME, 65, 59, 8, 36, 7, 8, 0, 27, 27, 0
40, CIVILIZATION_BABYLON, 9, 14, 0, 6, 0, 0, 0, 0, 0, 0
40, CIVILIZATION_HATTUSA, 7, 16, 1, 4, 0, 0, 0, 0, 0, 0
40, CIVILIZATION_JOHANNESBURG, 10, 12, 1, 6, 0, 0, 0, 0, 0, 0
40, CIVILIZATION_LISBON, 10, 12, 1, 6, 0, 0, 0, 0, 0, 0
40, CIVILIZATION_VATICAN_CITY, 9, 12, 0, 5, 0, 0, 0, 0, 0, 0
40, CIVILIZATION_VILNIUS, 12, 14, 0, 6, 0, 0, 0, 0, 0, 0
40, CIVILIZATION_YEREVAN, 8, 14, 0, 5, 0, 0, 0, 0, 0, 0
40, CIVILIZATION_KUMASI, 9, 12, 0, 6, 0, 0, 0, 0, 0, 0
40, CIVILIZATION_PRESLAV, 9, 14, 0, 5, 0, 0, 0, 0, 0, 0
40, CIVILIZATION_FREE_CITIES, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
40, CIVILIZATION_EGYPT, 78, 29, 8, 26, 9, 0, 0, 15, 15, 0
40, CIVILIZATION_BABYLON_STK, 64, 31, 6, 32, 33, 9, 0, 29, 29, 0
40, CIVILIZATION_INDIA, 82, 118, 6, 34, 9, 12, 0, 21, 21, 0
40, CIVILIZATION_MALI, 73, 68, 12, 23, 20, 8, 0, 11, 11, 0
40, CIVILIZATION_NUBIA, 93, 31, 10, 44, 16, 0, 0, 48, 48, 0
41, CIVILIZATION_MACEDON, 77, 46, 8, 42, 5, 8, 0, 7, 7, 0
41, CIVILIZATION_BRAZIL, 83, 121, 7, 48, 3, 8, 0, 31, 31, 0
41, CIVILIZATION_GERMANY, 64, 40, 7, 37, 7, 6, 0, 41, 41, 0
41, CIVILIZATION_VIETNAM, 79, 78, 10, 35, 0, 8, 0, 18, 18, 0
41, CIVILIZATION_ROME, 67, 61, 9, 37, 7, 8, 0, 28, 28, 0
41, CIVILIZATION_BABYLON, 9, 14, 0, 6, 0, 0, 0, 0, 0, 0
41, CIVILIZATION_HATTUSA, 7, 16, 1, 4, 0, 0, 0, 0, 0, 0
41, CIVILIZATION_JOHANNESBURG, 10, 12, 1, 6, 0, 0, 0, 0, 0, 0
41, CIVILIZATION_LISBON, 11, 12, 1, 6, 0, 0, 0, 0, 0, 0
41, CIVILIZATION_VATICAN_CITY, 9, 12, 0, 5, 0, 0, 0, 0, 0, 0
41, CIVILIZATION_VILNIUS, 12, 14, 0, 6, 0, 0, 0, 0, 0, 0
41, CIVILIZATION_YEREVAN, 8, 14, 0, 5, 0, 0, 0, 0, 0, 0
41, CIVILIZATION_KUMASI, 9, 12, 0, 6, 0, 0, 0, 0, 0, 0
41, CIVILIZATION_PRESLAV, 9, 14, 0, 5, 0, 0, 0, 0, 0, 0
41, CIVILIZATION_FREE_CITIES, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
41, CIVILIZATION_EGYPT, 78, 29, 8, 28, 18, 0, 0, 16, 16, 0
41, CIVILIZATION_BABYLON_STK, 73, 31, 6, 36, 27, 9, 0, 32, 32, 0
41, CIVILIZATION_INDIA, 85, 118, 6, 35, 9, 12, 0, 23, 23, 0
41, CIVILIZATION_MALI, 74, 76, 12, 31, 40, 8, 0, 12, 12, 0
41, CIVILIZATION_NUBIA, 103, 31, 11, 46, 16, 0, 0, 53, 53, 0
42, CIVILIZATION_MACEDON, 80, 48, 8, 42, 5, 8, 0, 7, 7, 0
42, CIVILIZATION_BRAZIL, 84, 121, 7, 51, 3, 8, 0, 31, 31, 0
42, CIVILIZATION_GERMANY, 64, 43, 8, 49, 7, 6, 0, 42, 42, 0
42, CIVILIZATION_VIETNAM, 80, 82, 10, 47, 0, 8, 0, 19, 19, 0
42, CIVILIZATION_ROME, 75, 71, 9, 38, 7, 8, 0, 29, 29, 0
42, CIVILIZATION_BABYLON, 9, 14, 0, 6, 0, 0, 0, 0, 0, 0
42, CIVILIZATION_HATTUSA, 7, 16, 1, 4, 0, 0, 0, 0, 0, 0
42, CIVILIZATION_JOHANNESBURG, 10, 12, 1, 6, 0, 0, 0, 0, 0, 0
42, CIVILIZATION_LISBON, 11, 14, 1, 7, 0, 0, 0, 0, 0, 0
42, CIVILIZATION_VATICAN_CITY, 9, 12, 0, 5, 0, 0, 0, 0, 0, 0
42, CIVILIZATION_VILNIUS, 12, 14, 0, 6, 0, 0, 0, 0, 0, 0
42, CIVILIZATION_YEREVAN, 8, 14, 0, 5, 0, 0, 0, 0, 0, 0
42, CIVILIZATION_KUMASI, 9, 14, 0, 6, 0, 0, 0, 0, 0, 0
42, CIVILIZATION_PRESLAV, 9, 14, 0, 5, 0, 0, 0, 0, 0, 0
42, CIVILIZATION_FREE_CITIES, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
42, CIVILIZATION_EGYPT, 84, 34, 9, 31, 18, 7, 0, 17, 17, 0
42, CIVILIZATION_BABYLON_STK, 76, 31, 7, 39, 44, 9, 0, 35, 35, 0
42, CIVILIZATION_INDIA, 86, 123, 7, 38, 10, 12, 0, 26, 26, 0
42, CIVILIZATION_MALI, 76, 83, 13, 32, 50, 8, 0, 13, 13, 0
42, CIVILIZATION_NUBIA, 104, 35, 12, 48, 16, 0, 0, 58, 58, 0
43, CIVILIZATION_MACEDON, 80, 51, 8, 43, 10, 8, 0, 7, 7, 0
43, CIVILIZATION_BRAZIL, 93, 122, 7, 52, 3, 8, 0, 31, 31, 0
43, CIVILIZATION_GERMANY, 67, 45, 8, 50, 7, 6, 0, 43, 43, 0
43, CIVILIZATION_VIETNAM, 82, 82, 10, 48, 0, 8, 0, 20, 20, 0
43, CIVILIZATION_ROME, 77, 71, 9, 40, 7, 8, 0, 30, 30, 0
43, CIVILIZATION_BABYLON, 9, 14, 0, 7, 0, 0, 0, 0, 0, 0
43, CIVILIZATION_HATTUSA, 7, 16, 1, 4, 0, 0, 0, 0, 0, 0
43, CIVILIZATION_JOHANNESBURG, 10, 12, 1, 6, 0, 0, 0, 0, 0, 0
43, CIVILIZATION_LISBON, 11, 14, 1, 7, 0, 0, 0, 0, 0, 0
43, CIVILIZATION_VATICAN_CITY, 9, 12, 0, 5, 0, 0, 0, 0, 0, 0
43, CIVILIZATION_VILNIUS, 12, 14, 0, 6, 0, 0, 0, 0, 0, 0
43, CIVILIZATION_YEREVAN, 8, 14, 0, 5, 0, 0, 0, 0, 0, 0
43, CIVILIZATION_KUMASI, 9, 14, 0, 7, 0, 0, 0, 0, 0, 0
43, CIVILIZATION_PRESLAV, 9, 14, 0, 5, 0, 0, 0, 0, 0, 0
43, CIVILIZATION_FREE_CITIES, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
43, CIVILIZATION_EGYPT, 84, 35, 9, 33, 27, 7, 0, 18, 18, 0
43, CIVILIZATION_BABYLON_STK, 78, 35, 8, 44, 44, 9, 0, 38, 38, 0
43, CIVILIZATION_INDIA, 87, 127, 7, 41, 10, 12, 0, 29, 29, 0
43, CIVILIZATION_MALI, 78, 95, 13, 33, 50, 8, 0, 14, 14, 0
43, CIVILIZATION_NUBIA, 106, 35, 12, 52, 16, 0, 0, 63, 63, 0
44, CIVILIZATION_MACEDON, 80, 53, 8, 44, 10, 8, 0, 7, 7, 0
44, CIVILIZATION_BRAZIL, 93, 123, 7, 53, 4, 8, 0, 31, 31, 0
44, CIVILIZATION_GERMANY, 69, 53, 8, 52, 7, 6, 0, 44, 44, 0
44, CIVILIZATION_VIETNAM, 82, 88, 10, 49, 0, 8, 0, 21, 21, 0
44, CIVILIZATION_ROME, 78, 71, 9, 42, 7, 8, 0, 31, 31, 0
44, CIVILIZATION_BABYLON, 9, 14, 0, 7, 0, 0, 0, 0, 0, 0
44, CIVILIZATION_HATTUSA, 7, 16, 1, 4, 0, 0, 0, 0, 0, 0
44, CIVILIZATION_JOHANNESBURG, 10, 12, 1, 6, 0, 0, 0, 0, 0, 0
44, CIVILIZATION_LISBON, 11, 14, 2, 7, 0, 0, 0, 0, 0, 0
44, CIVILIZATION_VATICAN_CITY, 9, 14, 0, 6, 0, 0, 0, 0, 0, 0
44, CIVILIZATION_VILNIUS, 12, 14, 0, 6, 0, 0, 0, 0, 0, 0
44, CIVILIZATION_YEREVAN, 8, 14, 0, 5, 0, 0, 0, 0, 0, 0
44, CIVILIZATION_KUMASI, 9, 14, 0, 7, 0, 0, 0, 0, 0, 0
44, CIVILIZATION_PRESLAV, 9, 14, 0, 5, 4, 0, 0, 0, 0, 0
44, CIVILIZATION_FREE_CITIES, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
44, CIVILIZATION_EGYPT, 86, 35, 10, 35, 27, 7, 0, 20, 20, 0
44, CIVILIZATION_BABYLON_STK, 81, 35, 9, 46, 44, 9, 0, 41, 41, 0
44, CIVILIZATION_INDIA, 99, 137, 7, 43, 10, 12, 0, 32, 32, 0
44, CIVILIZATION_MALI, 87, 101, 14, 36, 50, 8, 0, 15, 15, 0
44, CIVILIZATION_NUBIA, 109, 39, 12, 54, 18, 0, 0, 70, 70, 0
45, CIVILIZATION_MACEDON, 81, 53, 8, 46, 10, 8, 0, 7, 7, 0
45, CIVILIZATION_BRAZIL, 94, 123, 7, 68, 4, 8, 0, 31, 31, 0
45, CIVILIZATION_GERMANY, 77, 53, 8, 54, 7, 6, 0, 45, 45, 0
45, CIVILIZATION_VIETNAM, 83, 88, 11, 50, 0, 8, 0, 22, 22, 0
45, CIVILIZATION_ROME, 79, 74, 9, 51, 7, 8, 0, 32, 32, 0
45, CIVILIZATION_BABYLON, 9, 14, 0, 7, 0, 0, 0, 0, 0, 0
45, CIVILIZATION_HATTUSA, 7, 16, 1, 6, 0, 0, 0, 0, 0, 0
45, CIVILIZATION_JOHANNESBURG, 10, 12, 1, 7, 0, 0, 0, 0, 0, 0
45, CIVILIZATION_LISBON, 11, 14, 2, 7, 0, 0, 0, 0, 0, 0
45, CIVILIZATION_VATICAN_CITY, 9, 14, 0, 6, 0, 0, 0, 0, 0, 0
45, CIVILIZATION_VILNIUS, 12, 14, 0, 6, 0, 0, 0, 0, 0, 0
45, CIVILIZATION_YEREVAN, 9, 14, 0, 5, 0, 0, 0, 0, 0, 0
45, CIVILIZATION_KUMASI, 9, 14, 0, 7, 0, 0, 0, 0, 0, 0
45, CIVILIZATION_PRESLAV, 9, 14, 0, 5, 4, 0, 0, 0, 0, 0
45, CIVILIZATION_FREE_CITIES, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
45, CIVILIZATION_EGYPT, 91, 35, 11, 38, 27, 7, 0, 22, 22, 0
45, CIVILIZATION_BABYLON_STK, 84, 40, 9, 49, 39, 9, 0, 45, 45, 0
45, CIVILIZATION_INDIA, 100, 145, 7, 45, 20, 12, 0, 35, 35, 0
45, CIVILIZATION_MALI, 98, 105, 15, 38, 60, 8, 0, 16, 16, 0
45, CIVILIZATION_NUBIA, 117, 49, 13, 58, 0, 0, 0, 77, 77, 0
46, CIVILIZATION_MACEDON, 83, 54, 8, 46, 10, 8, 0, 7, 7, 0
46, CIVILIZATION_BRAZIL, 96, 127, 8, 70, 0, 8, 0, 31, 31, 0
46, CIVILIZATION_GERMANY, 80, 53, 9, 56, 7, 6, 0, 46, 46, 0
46, CIVILIZATION_VIETNAM, 86, 92, 11, 50, 0, 8, 0, 23, 23, 0
46, CIVILIZATION_ROME, 80, 77, 10, 54, 7, 8, 0, 33, 33, 0
46, CIVILIZATION_BABYLON, 9, 14, 0, 7, 0, 0, 0, 0, 0, 0
46, CIVILIZATION_HATTUSA, 7, 16, 1, 4, 0, 0, 0, 0, 0, 0
46, CIVILIZATION_JOHANNESBURG, 10, 12, 1, 7, 0, 0, 0, 0, 0, 0
46, CIVILIZATION_LISBON, 11, 14, 2, 7, 0, 0, 0, 0, 0, 0
