Game Turn, Player, Action, Policy, Score, Turns
1, 4, Civic, CIVIC_CODE_OF_LAWS, 85.2, 10
1, 4, Civic, CIVIC_CRAFTSMANSHIP, 185.5, 30
1, 4, Civic, CIVIC_FOREIGN_TRADE, 123.7, 30
1, 4, Civic, CIVIC_MILITARY_TRADITION, 123.7, 55
1, 4, Civic, CIVIC_STATE_WORKFORCE, 123.7, 65
1, 4, Civic, CIVIC_EARLY_EMPIRE, 123.7, 65
1, 4, Civic, CIVIC_MYSTICISM, 123.7, 55
1, 5, Civic, CIVIC_CODE_OF_LAWS, 85.2, 10
1, 5, Civic, CIVIC_CRAFTSMANSHIP, 123.7, 30
1, 5, Civic, CIVIC_FOREIGN_TRADE, 123.7, 30
1, 5, Civic, CIVIC_MILITARY_TRADITION, 123.7, 55
1, 5, Civic, CIVIC_STATE_WORKFORCE, 123.7, 65
1, 5, Civic, CIVIC_EARLY_EMPIRE, 123.7, 65
1, 5, Civic, CIVIC_MYSTICISM, 123.7, 55
1, 6, Civic, CIVIC_CODE_OF_LAWS, 85.2, 10
1, 6, Civic, CIVIC_CRAFTSMANSHIP, 123.7, 30
1, 6, Civic, CIVIC_FOREIGN_TRADE, 123.7, 30
1, 6, Civic, CIVIC_MILITARY_TRADITION, 123.7, 55
1, 6, Civic, CIVIC_STATE_WORKFORCE, 123.7, 65
1, 6, Civic, CIVIC_EARLY_EMPIRE, 123.7, 65
1, 6, Civic, CIVIC_MYSTICISM, 123.7, 55
1, 7, Civic, CIVIC_CODE_OF_LAWS, 85.2, 10
1, 7, Civic, CIVIC_CRAFTSMANSHIP, 123.7, 30
1, 7, Civic, CIVIC_FOREIGN_TRADE, 123.7, 30
1, 7, Civic, CIVIC_MILITARY_TRADITION, 123.7, 55
1, 7, Civic, CIVIC_STATE_WORKFORCE, 123.7, 65
1, 7, Civic, CIVIC_EARLY_EMPIRE, 123.7, 65
1, 7, Civic, CIVIC_MYSTICISM, 123.7, 55
1, 8, Civic, CIVIC_CODE_OF_LAWS, 85.2, 10
1, 8, Civic, CIVIC_CRAFTSMANSHIP, 123.7, 30
1, 8, Civic, CIVIC_FOREIGN_TRADE, 123.7, 30
1, 8, Civic, CIVIC_MILITARY_TRADITION, 123.7, 55
1, 8, Civic, CIVIC_STATE_WORKFORCE, 123.7, 65
1, 8, Civic, CIVIC_EARLY_EMPIRE, 123.7, 65
1, 8, Civic, CIVIC_MYSTICISM, 123.7, 55
1, 9, Civic, CIVIC_CODE_OF_LAWS, 85.2, 10
1, 9, Civic, CIVIC_CRAFTSMANSHIP, 123.7, 30
1, 9, Civic, CIVIC_FOREIGN_TRADE, 123.7, 30
1, 9, Civic, CIVIC_MILITARY_TRADITION, 123.7, 55
1, 9, Civic, CIVIC_STATE_WORKFORCE, 123.7, 65
1, 9, Civic, CIVIC_EARLY_EMPIRE, 123.7, 65
1, 9, Civic, CIVIC_MYSTICISM, 123.7, 55
