Game Turn, Initiator, Recipient, Action, Details, Mayhem, Visibility
1, 63, 0, Met, ,    0.0, 0
1, 0, 63, Met, ,    0.0, 0
1, 63, 0, At War, Surprise,    0.0, 0
1, 63, 1, Met, ,    0.0, 0
1, 1, 63, Met, ,    0.0, 0
1, 63, 1, At War, Surprise,    0.0, 0
1, 63, 2, Met, ,    0.0, 0
1, 2, 63, Met, ,    0.0, 0
1, 63, 2, At War, Surprise,    0.0, 0
1, 63, 3, Met, ,    0.0, 0
1, 3, 63, Met, ,    0.0, 0
1, 63, 3, At War, Surprise,    0.0, 0
1, 63, 4, Met, ,    0.0, 0
1, 4, 63, Met, ,    0.0, 0
1, 63, 4, At War, Surprise,    0.0, 0
1, 63, 5, Met, ,    0.0, 0
1, 5, 63, Met, ,    0.0, 0
1, 63, 5, At War, Surprise,    0.0, 0
1, 63, 6, Met, ,    0.0, 0
1, 6, 63, Met, ,    0.0, 0
1, 63, 6, At War, Surprise,    0.0, 0
1, 63, 7, Met, ,    0.0, 0
1, 7, 63, Met, ,    0.0, 0
1, 63, 7, At War, Surprise,    0.0, 0
1, 63, 8, Met, ,    0.0, 0
1, 8, 63, Met, ,    0.0, 0
1, 63, 8, At War, Surprise,    0.0, 0
1, 63, 9, Met, ,    0.0, 0
1, 9, 63, Met, ,    0.0, 0
1, 63, 9, At War, Surprise,    0.0, 0
1, 63, 10, Met, ,    0.0, 0
1, 10, 63, Met, ,    0.0, 0
1, 63, 10, At War, Surprise,    0.0, 0
1, 63, 11, Met, ,    0.0, 0
1, 11, 63, Met, ,    0.0, 0
1, 63, 11, At War, Surprise,    0.0, 0
1, 63, 12, Met, ,    0.0, 0
1, 12, 63, Met, ,    0.0, 0
1, 63, 12, At War, Surprise,    0.0, 0
1, 63, 13, Met, ,    0.0, 0
1, 13, 63, Met, ,    0.0, 0
